院校代码,学校名,所在地,城市,办学性质,学校类型,标签,科目,批次,人数,2022分数,2021分数,2020分数,2022最低位次,2021最低位次,2020最低位次
3339,西南交通大学,四川,成都,公立,理工,"双一流,211,国家重点",理,本科一批,147,594,604,623,13364,12628,11853
3683,中国传媒大学,北京,北京,公立,艺术,"双一流,211,中央部属",理,本科一批,40,594,612,627,13487,9989,10425
3717,中南大学,湖南,长沙,公立,综合,"双一流,985,211",文,本科一批,23,594,637,610,993,938,1073
1373,东华大学,上海,上海,公立,综合,"双一流,211,国家重点",理,本科一批,114,593,609,627,13697,10946,10425
1747,合肥工业大学,安徽,合肥,公立,理工,"双一流,211,国家重点",理,本科一批,1261,593,602,619,13801,13368,13422
1967,湖南大学,湖南,长沙,公立,综合,"双一流,985,211",文,本科一批,23,593,637,607,1040,938,1288
2087,吉林大学,吉林,长春,公立,综合,"双一流,985,211",文,本科一批,24,593,635,609,1041,1077,1145
2514,南京医科大学,江苏,南京,公立,医药,"双一流,省重点,保研资格",理,本科一批,29,593,627,644,13690,6101,5499
2143,江南大学,江苏,无锡,公立,综合,"双一流,211,中央部属",理,本科一批,214,592,597,617,14327,15342,14221
2928,深圳大学,广东,深圳,公立,综合,"省重点,保研资格,双万计划",理,本科一批,65,592,602,624,14275,13368,11477
3699,中国农业大学,北京,北京,公立,农林,"双一流,985,211",文,本科一批,14,592,634,609,1146,1162,1145
3699,中国农业大学(中外合作),北京,北京,公立,农林,"双一流,985,211",理,本科一批,5,592,601,618,14254,13754,13806
3701,中国人民大学(苏州校区),江苏,苏州,中外合作办学,综合,"985,211,国家重点",文,本科一批,7,592,630,594,1143,1474,2679
1357,电子科技大学,四川,成都,公立,理工,"双一流,985,211",文,本科一批,10,591,631,606,1229,1380,1370
1364,东北大学秦皇岛分校,河北,秦皇岛,公立,理工,"国家重点,双万计划",理,本科一批,136,591,599,615,14430,14530,15089
2087,吉林大学(中外合作),吉林,长春,公立,综合,"双一流,985,211",理,本科一批,2,591,594,606,14449,16513,19121
2517,南京邮电大学,江苏,南京,公立,理工,"双一流,省重点,保研资格",理,本科一批,122,591,597,619,14624,15342,13422
3222,武汉大学(医护类),湖北,武汉,公立,综合,"双一流,985,211",文,本科一批,8,591,629,596,1190,1562,2414
3711,中国药科大学,江苏,南京,公立,医药,"双一流,211,中央部属",理,本科一批,89,591,596,613,14747,15732,15921
2054,华东理工大学(中外合作),上海,上海,公立,理工,"双一流,211,国家重点",理,本科一批,7,590,595,618,14851,16120,13806
2064,华中师范大学,湖北,武汉,公立,师范,"双一流,211,国家重点",理,本科一批,45,590,613,627,15116,9675,10425
2504,南京师范大学,江苏,南京,公立,师范,"双一流,211,保研资格",文,本科一批,18,590,632,607,1279,1301,1288
3051,苏州大学,江苏,苏州,公立,综合,"双一流,211,省重点",文,本科一批,8,590,632,608,1272,1301,1214
